,spotify_url,preview_url,artists,added_at,album,duration,name,popularity,genre
41,https://open.spotify.com/track/2MLuFz9Y3Vg3PF0Yf93M5c,https://p.scdn.co/mp3-preview/92bb0c2ba0784771bf13a18d60a4af231fe37f4b?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""100 gecs"",""Laura Les"",""Dylan Brady""]",2020-09-18T22:41:12Z,2uhB1KivbFnlkARpbd0Cvu,140183,800 db cloud,60,escape room
42,https://open.spotify.com/track/4b3Fy1u0f3FUy0K2dNIqC9,https://p.scdn.co/mp3-preview/b5f155419e05030aae5095f1030a91aa8b4ca1d4?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""shinigami""]",2021-01-11T22:57:04Z,2YVpYyovtmptcKelthI6fH,130612,wallhack freestyle,38,scream rap
43,https://open.spotify.com/track/0VL32DjEZZiOj2dYo9a0NX,https://p.scdn.co/mp3-preview/b7e5cd02bc23b2450234cc3199cf22830306ca0d?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Young Thug""]",2020-12-26T14:31:54Z,664vzbSX8o7l1fmXsiI7HE,197528,Danny Glover,47,atl hip hop
44,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp,https://p.scdn.co/mp3-preview/95e8a5f3eeb34ad057834f207c56dd3ee2465543?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Lil Baby"",""42 Dugg""]",2020-10-31T22:40:00Z,6uhEg4ASZYLIilZFCBFy1r,181929,We Paid (feat. 42 Dugg),84,atl hip hop
45,https://open.spotify.com/track/2ctl2YVjBnxDO3OMf1Haay,https://p.scdn.co/mp3-preview/afbfcdd492ecaa8dd4f5db9f84771e8d3fe3210c?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Ethereal"",""Playboi Carti""]",2020-11-10T01:30:40Z,4RaURq3uVq4GnWXWDjUh4u,213333,Beef,63,atl hip hop
46,https://open.spotify.com/track/5Ryu0SlsYjKh78RkJUONFr,https://p.scdn.co/mp3-preview/f33f884459fedffde2e13f9a5c01ed2d594c4ee3?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Lil Yachty"",""Future"",""Playboi Carti""]",2020-12-25T20:33:27Z,6ufaA5YvSGK3E9KnRFYvvo,170858,Flex Up (feat. Future & Playboi Carti),77,atl hip hop
47,https://open.spotify.com/track/4CzhtKifG867Lu5DNQVBSA,https://p.scdn.co/mp3-preview/24db0e1d3074728f540960c8318b261082d51a2a?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Playboi Carti""]",2020-12-25T20:36:35Z,2QRedhP5RmKJiJ1i8VgDGR,124093,Vamp Anthem,80,atl hip hop
48,https://open.spotify.com/track/1eMNW1HQjF1dbb4GtnmpaX,https://p.scdn.co/mp3-preview/d3b722d84517e0b5677ec8db97885bdd6f404152?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Playboi Carti""]",2020-12-30T05:57:03Z,2QRedhP5RmKJiJ1i8VgDGR,164590,Slay3r,82,atl hip hop
49,https://open.spotify.com/track/5fSZXFOZfPVW9gvnnG4ZVW,https://p.scdn.co/mp3-preview/6ad76b1f06a345ec223440791a887e530e006f9e?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Playboi Carti""]",2021-01-06T00:18:50Z,2QRedhP5RmKJiJ1i8VgDGR,229699,Punk Monk,73,atl hip hop
50,https://open.spotify.com/track/3Q5cLvkKsHJvYltf8k7HkO,https://p.scdn.co/mp3-preview/a9c72299369fe8e1a38c2f673c66b853196cb959?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Ty Dolla $ign"",""FKA twigs"",""Skrillex"",""Kanye West""]",2021-01-10T09:44:43Z,1zg6QT0eGqLBlhAT2FPoFj,231618,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",77,trap soul
51,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp,https://p.scdn.co/mp3-preview/95e8a5f3eeb34ad057834f207c56dd3ee2465543?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Lil Baby"",""42 Dugg""]",2020-10-31T22:40:00Z,6uhEg4ASZYLIilZFCBFy1r,181929,We Paid (feat. 42 Dugg),84,southern hip hop
52,https://open.spotify.com/track/6gbiTbclnHlmSIPfmF2zEc,https://p.scdn.co/mp3-preview/90ca8d252d8eb1007115a70a14c4307784925e40?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Key Glock""]",2020-12-18T20:56:26Z,6BsJaQiuPWfXwytfZXQBLm,131600,Gang Shit No Lame Shit,76,southern hip hop
53,https://open.spotify.com/track/5Ryu0SlsYjKh78RkJUONFr,https://p.scdn.co/mp3-preview/f33f884459fedffde2e13f9a5c01ed2d594c4ee3?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Lil Yachty"",""Future"",""Playboi Carti""]",2020-12-25T20:33:27Z,6ufaA5YvSGK3E9KnRFYvvo,170858,Flex Up (feat. Future & Playboi Carti),77,southern hip hop
54,https://open.spotify.com/track/4BZYq5y27t9l02IyLElK6V,https://p.scdn.co/mp3-preview/bb06ce73061f3031f4ebf9b180ae2964571c51e1?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Ecco2k"",""Thaiboy Digital"",""Bladee""]",2020-10-19T08:20:24Z,2coNG13rwtzL6AVPmzcoty,120000,Western Union,61,vapor trap
55,https://open.spotify.com/track/4zEvyhEyK3WUQh6VUW5EWi,https://p.scdn.co/mp3-preview/28041496cebb936ffac1226399e63e4e9bc2c35a?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""David Shawty""]",2021-01-03T03:59:54Z,4SG9QyrNlcJMm0k9o7oItY,95976,Dancing on the Sidewalk Lights Flicker,41,vapor trap
56,https://open.spotify.com/track/2ctl2YVjBnxDO3OMf1Haay,https://p.scdn.co/mp3-preview/afbfcdd492ecaa8dd4f5db9f84771e8d3fe3210c?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Ethereal"",""Playboi Carti""]",2020-11-10T01:30:40Z,4RaURq3uVq4GnWXWDjUh4u,213333,Beef,63,vapor trap
57,https://open.spotify.com/track/0Z1CgKoZXoQYRiqyXhq9LV,https://p.scdn.co/mp3-preview/8c67d60f5f2660393a1bd2463e5a73916dc2a66c?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""SahBabii""]",2020-10-12T02:51:00Z,0YksPVYor2eHo7ILCTAxJs,172954,Squidrific,60,vapor trap
